ticket_id,true_topic,lda_topic,lda_topic_score,nmf_topic,nmf_topic_score
TKT-0001,login,1,0.8850812275823455,0,0.4306465578869184
TKT-0002,bug,1,0.866383938700587,0,0.00025691371365041784
TKT-0003,login,3,0.8856424716906108,2,0.002294109425244233
TKT-0004,login,4,0.8855059397661336,0,0.26744886786856636
TKT-0005,login,1,0.8850812275823455,0,0.4306465578869184
TKT-0006,bug,1,0.866383938700587,0,0.00025691371365041784
TKT-0007,account,0,0.8851452989252382,4,0.23615071935170445
TKT-0008,bug,1,0.866262133745224,1,0.5283981601928852
TKT-0009,account,4,0.8843114902889977,0,0.060766403697956176
TKT-0010,payment,4,0.8663058146783942,4,0.5516291721288993
TKT-0011,login,1,0.899996762030768,0,0.0020507944532124484
TKT-0012,payment,2,0.8996948507975953,0,0.00016599259786995868
TKT-0013,bug,1,0.866383938700587,0,0.00025691371365041784
TKT-0014,login,1,0.8850812275823455,0,0.4306465578869184
TKT-0015,login,3,0.5997979243045757,0,0.050571168909541456
TKT-0016,account,1,0.8396589557382902,0,0.18120519834301466
TKT-0017,payment,4,0.8663058146783942,4,0.5516291721288993
TKT-0018,payment,3,0.8857102779461827,2,0.010797451540446326
TKT-0019,feature,2,0.8856614555943677,3,0.5649423272873189
TKT-0020,account,1,0.8992154331105993,4,0.28834688820654514
TKT-0021,account,3,0.8399951015376335,4,4.407173964145134e-20
TKT-0022,login,1,0.8850812275823455,0,0.4306465578869184
TKT-0023,bug,0,0.9109321530974154,0,0.00021056024652850046
TKT-0024,login,1,0.899996762030768,0,0.0020507944532124484
TKT-0025,login,1,0.8853241699702173,0,0.001993358968405068
TKT-0026,payment,1,0.8839843259399354,2,0.12546092844966897
TKT-0027,bug,0,0.9110255009770298,4,0.026018019699461138
TKT-0028,bug,1,0.866262133745224,1,0.5283981601928852
TKT-0029,login,4,0.8855059397661336,0,0.26744886786856636
TKT-0030,bug,3,0.8997011566038071,0,0.00025060810246158006
TKT-0031,bug,3,0.866663349017117,3,7.915522689268088e-16
TKT-0032,feature,4,0.8659614066915524,4,0.035301383750569716
TKT-0033,account,3,0.8399951015376335,4,4.407173964145134e-20
TKT-0034,feature,2,0.8856614555943677,3,0.5649423272873189
TKT-0035,bug,0,0.9109321530974154,0,0.00021056024652850046
TKT-0036,feature,0,0.8855360158248201,4,0.14417884614357246
TKT-0037,login,4,0.8662203001237462,2,0.009974777914731392
TKT-0038,feature,2,0.8997322691381653,4,0.057114818966632556
TKT-0039,payment,3,0.838665540733319,2,0.1319271618834163
TKT-0040,payment,4,0.8664868262519578,2,0.5419503165558314
TKT-0041,bug,1,0.866383938700587,0,0.00025691371365041784
TKT-0042,account,1,0.8396589557382902,0,0.18120519834301466
TKT-0043,payment,4,0.8663058146783942,4,0.5516291721288993
TKT-0044,feature,2,0.8997322691381653,4,0.057114818966632556
TKT-0045,account,4,0.8843114902889977,0,0.060766403697956176
TKT-0046,login,1,0.899996762030768,0,0.0020507944532124484
TKT-0047,bug,1,0.866262133745224,1,0.5283981601928852
TKT-0048,payment,4,0.8663058146783942,4,0.5516291721288993
TKT-0049,payment,3,0.838665540733319,2,0.1319271618834163
TKT-0050,payment,4,0.8663058146783942,4,0.5516291721288993
TKT-0051,account,1,0.8992154331105993,4,0.28834688820654514
TKT-0052,login,3,0.8856424716906108,2,0.002294109425244233
TKT-0053,feature,2,0.8856614555943677,3,0.5649423272873189
TKT-0054,feature,2,0.8662256226346621,1,0.10854368579021997
TKT-0055,payment,4,0.8664868262519578,2,0.5419503165558314
TKT-0056,login,3,0.8856424716906108,2,0.002294109425244233
TKT-0057,account,1,0.8992154331105993,4,0.28834688820654514
TKT-0058,account,0,0.8851452989252382,4,0.23615071935170445
TKT-0059,feature,2,0.8856614555943677,3,0.5649423272873189
TKT-0060,account,2,0.8664764534572251,1,0.1814601436860562
TKT-0061,bug,0,0.9110255009770298,4,0.026018019699461138
TKT-0062,account,1,0.8992154331105993,4,0.28834688820654514
TKT-0063,login,4,0.8855059397661336,0,0.26744886786856636
TKT-0064,payment,3,0.8857102779461827,2,0.010797451540446326
TKT-0065,feature,2,0.8856614555943677,3,0.5649423272873189
TKT-0066,bug,0,0.9108049368920693,3,0.09656821312858545
TKT-0067,account,0,0.8851452989252382,4,0.23615071935170445
TKT-0068,payment,3,0.8997768828610119,2,0.16883664601764475
TKT-0069,account,1,0.8992154331105993,4,0.28834688820654514
TKT-0070,bug,1,0.866262133745224,1,0.5283981601928852
TKT-0071,account,3,0.8399951015376335,4,4.407173964145134e-20
TKT-0072,account,1,0.8992154331105993,4,0.28834688820654514
TKT-0073,payment,4,0.8664868262519578,2,0.5419503165558314
TKT-0074,bug,1,0.866262133745224,1,0.5283981601928852
TKT-0075,payment,1,0.8839843259399354,2,0.12546092844966897
TKT-0076,feature,0,0.8855360158248201,4,0.14417884614357246
TKT-0077,payment,3,0.8857102779461827,2,0.010797451540446326
TKT-0078,bug,0,0.9108049368920693,3,0.09656821312858545
TKT-0079,login,4,0.8855059397661336,0,0.26744886786856636
TKT-0080,bug,3,0.8997011566038071,0,0.00025060810246158006
TKT-0081,login,1,0.8850812275823455,0,0.4306465578869184
TKT-0082,login,4,0.8662203001237462,2,0.009974777914731392
TKT-0083,login,1,0.899996762030768,0,0.0020507944532124484
TKT-0084,login,4,0.8855059397661336,0,0.26744886786856636
TKT-0085,feature,4,0.8659614066915524,4,0.035301383750569716
TKT-0086,bug,3,0.8997011566038071,0,0.00025060810246158006
TKT-0087,account,2,0.8664764534572251,1,0.1814601436860562
TKT-0088,bug,0,0.9109321530974154,0,0.00021056024652850046
TKT-0089,payment,4,0.8664868262519578,2,0.5419503165558314
TKT-0090,login,3,0.8856424716906108,2,0.002294109425244233
TKT-0091,feature,0,0.8855360158248201,4,0.14417884614357246
TKT-0092,payment,3,0.8997768828610119,2,0.16883664601764475
TKT-0093,login,1,0.8850812275823455,0,0.4306465578869184
TKT-0094,feature,2,0.8856614555943677,3,0.5649423272873189
TKT-0095,bug,1,0.866383938700587,0,0.00025691371365041784
TKT-0096,account,4,0.8843114902889977,0,0.060766403697956176
TKT-0097,payment,4,0.8664868262519578,2,0.5419503165558314
TKT-0098,payment,4,0.8664868262519578,2,0.5419503165558314
TKT-0099,payment,3,0.8997768828610119,2,0.16883664601764475
TKT-0100,login,1,0.8850812275823455,0,0.4306465578869184
TKT-0101,account,1,0.8992154331105993,4,0.28834688820654514
TKT-0102,login,1,0.899996762030768,0,0.0020507944532124484
TKT-0103,bug,3,0.866663349017117,3,7.915522689268088e-16
TKT-0104,payment,4,0.8664868262519578,2,0.5419503165558314
TKT-0105,login,4,0.8662203001237462,2,0.009974777914731392
TKT-0106,login,1,0.8853241699702173,0,0.001993358968405068
TKT-0107,payment,2,0.8996948507975953,0,0.00016599259786995868
TKT-0108,account,3,0.8666619192772093,0,0.0019581912258550068
TKT-0109,bug,1,0.866383938700587,0,0.00025691371365041784
TKT-0110,bug,0,0.9108049368920693,3,0.09656821312858545
TKT-0111,account,0,0.8851452989252382,4,0.23615071935170445
TKT-0112,login,1,0.8850812275823455,0,0.4306465578869184
